Periodo Gasto_persona	
2022M10	980,41	
2022M09	1.019,57	
2022M08	1.110,52	
2022M07	1.053,52	
2022M06	1.087,46	
2022M05	894,58	
2022M04	714,12	
2022M03	642,10	
2022M02	772,81	
2022M01	786,25	
2021M12	575,78	
2021M11	604,37	
2021M10	877,91	
2021M09	885,10	
2021M08	906,91	
2021M07	929,67	
2021M06	771,20	
2021M05	727,70	
2021M04	645,25	
2021M03	584,30	
2021M02	730,23	
2021M01	637,21	
2020M12	655,19	
2020M11	629,82	
2020M10	679,10	
2020M09	801,35	
2020M08	841,28	
2020M07	796,77	
2020M06	651,42	
2020M05	0,00	
2020M04	0,00	
2020M03	524,34	
2020M02	485,47	
2020M01	529,21	
2019M12	590,05	
2019M11	521,27	
2019M10	1.001,89	
2019M09	1.025,85	
2019M08	1.047,69	
2019M07	1.056,45	
2019M06	954,02	
2019M05	866,84	
2019M04	587,84	
2019M03	471,98	
2019M02	473,87	
2019M01	462,82	
2018M12	445,60	
2018M11	712,32	
2018M10	1.067,91	
2018M09	1.008,11	
2018M08	1.041,77	
2018M07	1.055,18	
2018M06	954,66	
2018M05	904,93	
2018M04	578,05	
2018M03	571,24	
2018M02	435,98	
2018M01	515,79	
2017M12	494,71	
2017M11	684,35	
2017M10	917,00	
2017M09	923,75	
2017M08	1.024,49	
2017M07	1.012,76	
2017M06	932,91	
2017M05	873,74	
2017M04	636,40	
2017M03	495,50	
2017M02	516,74	
2017M01	450,35	
2016M12	438,99	
2016M11	505,76	
2016M10	890,79	
2016M09	964,44	
2016M08	918,84	
2016M07	916,03	
2016M06	818,96	
2016M05	782,90	
2016M04	673,31	
2016M03	705,59	
2016M02	400,60	
2016M01	485,71	
2015M12	613,05	
2015M11	520,31	
2015M10	807,38	
