Marca temporal,Edad:,Género,Tipo de colegio,Facultad,Carrera ,Carrera,Carrera,Carrera,Carrera,Año de carrera,Rendimiento académico general,Rendimiento académico último cuatrimestre,¿Cuántas horas duermes? (en periodo de exámenes),¿Cuántas horas duermes? (excluyendo periodo de exámenes),¿Cuántas horas de ocio? (en periodo de exámenes),¿Cuántas horas de ocio tienes? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (en periodo de exámenes),¿Cómo de saludables definirías tus hábitos nutricionales?,¿Cuán activa definirías tu vida social?,¿Cuál es tu situación doméstica?,¿Cuál es tu situación laboral?,¿Consideras que tienes estrés?,¿Tomas alguna medida para combatir tu estrés?,¿Cuántas veces sales de fiesta al mes? (sin período de exámenes),¿Cuántas veces a la semana haces deporte? (sin estar en período de exámenes),Hobbies,¿Tienes pareja estable?,¿Cuánto tiempo pasas con tu pareja? (en período de exámenes),¿Cuánto tiempo pasas con tu pareja? (sin estar en período de exámenes)
11/04/2022 12:51:17,21,Mujer,Público,EPS,,,,,Matemáticas,Cuarto año,Entre 6 y 7,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,7,Vivo con mis padres,Trabajo de manera esporádica,Sí,No,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
11/04/2022 13:09:03,18,Hombre,Concertado,EPS,,,,,Matemáticas,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,5,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Ver películas",No,,
11/04/2022 14:43:40,22,Mujer,Público,Educación,,,Educación social,,,Primer año,Entre 6 y 7,Entre 5 y 6,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,2,6,Vivo con mis padres,Tengo trabajo estable,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Escuchar música, Instrumento musical, Teatro",No,,
11/04/2022 14:45:04,23,Mujer,Público,Educación,,,Educación social,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,más de 8 horas diarias,más de 8 horas diarias,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,6,10,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Dibujar, Escuchar música, Leer, Meditación/Yoga",No,,
11/04/2022 14:45:07,22,Mujer,Público,Educación,,,Educación social,,,Primer año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,5,8,Vivo con mis padres,Trabajo en verano,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Fotografía",No,,
11/04/2022 14:47:12,20,Hombre,,Economía y Empresa,Economía,,,,,Primer año,Entre 6 y 7,Entre 5 y 6,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,4,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Ver películas",No,,
11/04/2022 14:52:20,21,Mujer,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 7 y 8,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,8,7,Vivo solo,Busco trabajo de manera activa,Tal vez,Si,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Bailar, Cocina, Escuchar música, Leer, Ver películas, Videojuegos",No,,
11/04/2022 14:56:11,24,Mujer,Concertado,Economía y Empresa,Administración de Empresas,,,,,Segundo año,Entre 7 y 8,Entre 8 y 9,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,6,8,Vivo con mis padres,Tengo trabajo estable,Sí,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Ver películas",No,,
11/04/2022 15:02:20,19,Mujer,Privado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 7 y 8,Entre 9 y 10,entre 5 y 6 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,más de 8 horas diarias,3,3,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
11/04/2022 15:02:36,19,Mujer,Privado,Economía y Empresa,Administración de Empresas,,,,,Segundo año,Entre 6 y 7,Entre 4 y 5,entre 4 y 5 horas diarias,entre 8 y 9 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,3,3,Vivo con mis padres,No tengo trabajo,No,,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Coser/ganchillo, Cocina, Escuchar música, Instrumento musical, Leer, Meditación/Yoga, Ver películas",No,,
